post,class,prediction,implicit_class
bernie sanders : white people dont know what it is like to bepoor,not_hate,implicit_hate,
"  "" what do we do if ? "" "" - antifa attacks with x or with y-police do x  or don't do y-infiltrators among """,not_hate,not_hate,
the realist report - 9/11 debate,not_hate,not_hate,
. #alert ; #splc has posted hitlists online that targets patriotic / christianamericans ; resulted in chick-fil-a shooting at . #maga,not_hate,implicit_hate,
if other groups want to wine about optics and waste their time  let them  the best thing you can do is stop talking about optics vs anti-optics altogether  let the little shitheads make their snide comments  at the end of the day twp is growing and has the right approach .,not_hate,not_hate,
"wait you mean like general sherman? yes, now there is a worthless piece of shit yankee vermin trash terrorist.",explicit_hate,explicit_hate,
im urging to continue to protect immigrants from #racist hate groups like . #stopice,not_hate,not_hate,
confederate heritage is white american history .,implicit_hate,implicit_hate,incitement
"so much for only the criminals, let the guy back in, for fks sake. #deportisraelis #noduelcitizenship #endaipac",implicit_hate,not_hate,threatening
: rt : congress wants all cars to be equipped with recording devices #nwo #zog #zionism ...,not_hate,implicit_hate,
happy birthday uncle adolf ! how i wish you were still with us .,implicit_hate,explicit_hate,incitement
white america it's election time get blunt racist a minute 2 cubans ! or trump . we had a mormon,implicit_hate,implicit_hate,incitement
eight whole people impressed by the drone though  not going to lie .,not_hate,not_hate,
babies feel pain after the are born but republicans want to get rid of their healthcare . babies with medical conditions will die .,not_hate,not_hate,
the fact you used the term black supremacists to describe blacks speaking out against white supremacy shows you have been brainwashed by white supremacists propaganda to begin with,not_hate,implicit_hate,
abortion clinic appeals to the rich : do you want a latte with that abortion pill ? #tcot,not_hate,not_hate,
lol the white liberals slipped up,not_hate,not_hate,
power is flowing out of nukes . big powers have thousands  new powers have hundreds . but india is rising now .,not_hate,not_hate,
yeah  giddy with their oh goody  ms hillary will make sure we keep getting our free stuff like obama did  and will get us more free stuff  government needs to pay us  owes us  so we dont have to work . what ? ? ? trump wants us to work ? ? ? ms hillary wouldnt ever do that to us !,not_hate,not_hate,
now to get pernicious greedy cancerous whites out,explicit_hate,explicit_hate,
" da bears : white hero mike ditka attacks nfl negroids  calls out  "" oppression "" "" hoax via """,explicit_hate,implicit_hate,
" rt #germany : #merkel today at her election campaign in #torgau . citizens shouted :  "" merkel must go "" ""  "" "" go away "" ""  loud catcalls and booed ! """,not_hate,not_hate,
: white genocide in the united states of america a 100 year history | read more : ;,not_hate,implicit_hate,
pics i saw of those guys definitely weren't all white,not_hate,not_hate,
what is the tattoo on the white guy ? what is its significance ?,not_hate,not_hate,
the humanitarian crisis & the coming crime wave in u.s. cities stop the #amnesty nightmare!,implicit_hate,not_hate,white_grievance
"  "" : germany : jewish community bochum asks members to not wear jewish symbols in public anymore "" "" whe .. "" "" """,not_hate,not_hate,
angel-faced hitler sympathizer under prosecution in canada via,not_hate,explicit_hate,
but there are selfish pimps in bjp who are abusing,not_hate,not_hate,
" youtube the nra commercial . google  "" white genocide professor "" "" or james watson addressing genetics of intelligence . it's both sides . """,not_hate,implicit_hate,
fair  you racist lying scum,not_hate,explicit_hate,
the worst immigrant anchor baby of all : thomas jefferson,not_hate,implicit_hate,
so your idea is to start being dishonest like them even though people are c,not_hate,not_hate,
mt iranian prez-elect rowhani tied to iranian jihad bombing #islam #islamophobia #tcot #terrorism,not_hate,implicit_hate,
it's not that they don't  it's the extremes that left wing media are willing to go to now  i mean come on ...,not_hate,implicit_hate,
he won't fight with the antifa unless they put $ 5000 + up front,not_hate,not_hate,
black panther leader tells a crowd in charleston to kill whites and their children,implicit_hate,explicit_hate,stereotypical
off with these black clothes now kkk ! or you'll be called bad names by me ! you can only wear white clothes.only white !,not_hate,explicit_hate,
slaves to rich leftists 2014 : the liberal left is always bashing white southerners and all white people for su ...,implicit_hate,implicit_hate,white_grievance
non-white hate crime mob violence comes to finland ( video ) va,not_hate,implicit_hate,
the democrats have become the party of the non-white & anti-white  even the #aflcio can't save them . #usa,implicit_hate,implicit_hate,incitement
"if you don't speak up, they she will speak for you. marilyn deyoung, , latino """"babies can join a gang",implicit_hate,implicit_hate,irony
white nationalism ?,not_hate,not_hate,
jews and nonwhites are openly showing us their hatred right now . when will you get it  white people ?,explicit_hate,explicit_hate,
What's a 1000 meters long and has an IQ of 68? A black lives matter parade.,implicit_hate,explicit_hate,irony
only because racism is confused with realism,not_hate,implicit_hate,
listen there are 175000 white christians in america .. our us constitution stands . no islam,not_hate,explicit_hate,
now you know why writes blatantly false pieces criticising bjp sab mile hue,not_hate,not_hate,
" that slogan is eerily similar to  "" tomorrow belongs to me "" "" which is a cabaret song sung by nazi's about the third reich """,not_hate,implicit_hate,
a group of racists white losers who are bitter that white supremacy is being challenged in this country . this is my country !,not_hate,explicit_hate,
" that would included black-white  latino-white  native american-white  "" supremacist "" "" etc etc ... dems agreement is loosing it reaction  we r winning """,not_hate,implicit_hate,
adolf hitler school for friendship and tolerance is among names suggested for texas school | via,not_hate,not_hate,
want america to be safe and secure ? the wall will make it worse  not better .,not_hate,not_hate,
" where racism is allowed :  "" white people should leave zimbabwe "" "" says president mugabe va #waronwhites """,not_hate,explicit_hate,
whites and blacks commit mass shootings proportionate to their shares of the pop . asians are only overrepresented group,not_hate,not_hate,
you suck stupid white bread,explicit_hate,explicit_hate,
thank you mr president and may god richly bless you,not_hate,not_hate,
muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who d,implicit_hate,explicit_hate,stereotypical
we prefer to be called identitarians . we believe that societies with majority populations that share racial / ethnic & cultural commonality  an identity  are more stable & preferable to ones that are multi,implicit_hate,implicit_hate,incitement
" the  "" i'm not white "" "" white morons at it again "" "" i am a victim too ! especially when i'm not "" "" """,not_hate,implicit_hate,
they do watch tv . sure the media will never portray you fairly  but 1.0 didn't exactly help themselves either .,not_hate,implicit_hate,
disagree on that point . alt-right is driven by tectonic changes in demographics  not day-to-day events imo,not_hate,not_hate,
1 / at this point  i hope cernovich goes down like milo,not_hate,not_hate,
are you a white nationalist ? and are you associated with the vanguard ?,not_hate,implicit_hate,
" rt the alleged jewish  "" holocaust "" "" is the biggest fraud in history . #withjewswelose #nomorejewishlies """,implicit_hate,explicit_hate,stereotypical
hey republicans : save the unborn millionaires #abortion #tcot,not_hate,not_hate,
circuit : 3 way shldr raises 10 each ; kb shrugs with hold at top x10 ; 2 handed kb ext x15 . 4 rounds  3 for me  1 for the #liftwaffe,not_hate,not_hate,
taliban : pink balloons ' western tools against islam ',not_hate,explicit_hate,
cruz was a major champion of the #tpp . he flip-flopped to adopt trump's position .,not_hate,not_hate,
this book can help u get rid of black people by encouraging healthy black communities. read it and see >>>,implicit_hate,explicit_hate,inferiority
"nothing to see here, goyess",explicit_hate,explicit_hate,
whites are safe from black violence when segregation is the rule of law . si,implicit_hate,implicit_hate,stereotypical
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,implicit_hate,implicit_hate,inferiority
white genocide in the united states of america a 100 year history | rea via,not_hate,implicit_hate,
maybe you should go to black lives matter and whine about your white guilt,implicit_hate,implicit_hate,incitement
i suppose european patriots do ' hate ' in the sense they hate the idea of white demise and displacement .,implicit_hate,implicit_hate,white_grievance
. grants to #plannedparenthood for breast cancer screening result in zero mammograms #defundpp,not_hate,not_hate,
#stopvoterfraud #obam's #amnesty for #illegals #secureourborders now!!,implicit_hate,not_hate,incitement
: jew run google soliciting donations to support non-white invasion of europe ),explicit_hate,explicit_hate,
get em out of here!,implicit_hate,not_hate,threatening
all white people should look at this video - - now,not_hate,not_hate,
: syrian invaders fear german nationalists and want to return home,not_hate,explicit_hate,
white evangelical christians do not execute lgbtq people you do . your move .,not_hate,explicit_hate,
" splc recently slapped him  "" white-nationalist "" "" label for "" "" white america ~ coming apart "" "" """,not_hate,implicit_hate,
free speech under assault worldwide #withjewswelose,not_hate,implicit_hate,
just a reminder to all : stay away from national action ... and while you're at it  keep away from those mugs with tattoos over their faces !,not_hate,not_hate,
isis is in the white house . that's why the border is open .,implicit_hate,explicit_hate,stereotypical
" rt quran commands warimam in britain says war is comingliberals demand more muslimsdemocrats are the  "" stupid party "" "" """,implicit_hate,explicit_hate,stereotypical
so it targets faggots and blacks  looks like god is trying to help out the white race .,explicit_hate,explicit_hate,
anti-racist equals anti-white billboard erected in arkansas ( video ) va,implicit_hate,implicit_hate,white_grievance
will #france go over to the russian side ?,not_hate,not_hate,
"  "" he had a complex about being shorthe claims to be 5 foot 7  but several people i talked with put his """,not_hate,not_hate,
What happens when God lowers the graphics and increases the difficulty ? We all turn black.,implicit_hate,explicit_hate,irony
agree . i'm sick of these self-hating behavior and attitude from whites nowadays . it's more common in usa / western europe .,implicit_hate,implicit_hate,white_grievance
islam is a white man's fraud .,implicit_hate,explicit_hate,stereotypical
"this is just a smokescreen. wait till they demand that full grown """"refugee children"""" be allowed in the",implicit_hate,not_hate,white_grievance
no white nationalist wants to harm any bi-racial or any other race  we just want to be allowed to have pride in our race  history  culture,not_hate,implicit_hate,
white genocide quotes,not_hate,explicit_hate,
building this barrier is more than just a campaign promise-it's a commonsense 1st step to securing our border #,not_hate,not_hate,
why are you promoting alt-right white supremacy and hate ? this has nothing to do with christianity .,not_hate,not_hate,
in many societies devils & evil spirits are white ; ppl w / white skin were seen as living white devils i . e treatment of albinos in africa,not_hate,implicit_hate,
"imagine thinking you're ahead of the chinese, lol.",implicit_hate,not_hate,irony
by your own metric  whites are far more oppressed than jews,implicit_hate,implicit_hate,white_grievance
" . in other words  "" we need to keep brainwahsing whites to accept their destruction . "" "" #istandfordiversity """,not_hate,not_hate,
you a white racist incognito ! take down the black man and put up hitler !,not_hate,explicit_hate,
da jooh privilege strikes on whites once again while da somali privilege gets cleared right away with no court,implicit_hate,implicit_hate,white_grievance
i hate the media  how manipulative and vile they are  always covering up for islam  but quick to demonize white people .,implicit_hate,implicit_hate,white_grievance
none of these people care about their followers . if baked al,not_hate,not_hate,
maga white cookouts would be nice .,implicit_hate,implicit_hate,incitement
still a white supremacist,not_hate,explicit_hate,
that's weird  most countries were white nationalist back then and they didn't all kill 6 gorillion .,not_hate,implicit_hate,
not south orange nj ?,not_hate,not_hate,
a future for white kids .,implicit_hate,implicit_hate,white_grievance
" do most conservtism  inc people experience  "" cuck panic "" "" when featured by media matters ? """,not_hate,not_hate,
mixing of white and non-white is wrong nothing good comes out of it !,implicit_hate,implicit_hate,inferiority
black serial armed robber disguised himself as a white skinhead via,not_hate,implicit_hate,
here's a fact  if america was 100 % white it would be vibrant  prosperous &,implicit_hate,implicit_hate,incitement
you're not white you're racist,not_hate,implicit_hate,
white genocide is good,explicit_hate,explicit_hate,
unless a candidate declares clearly + openly he is for the white race you can be sure he isn't and won't do squat,implicit_hate,explicit_hate,white_grievance
these are initiation murders they has nothing to do with breaking the slave codes aka laws they are selected hunted then murdered #truefacts,implicit_hate,implicit_hate,stereotypical
" rt 16 year old german boy raped by 36 year old  "" refugee "" "" #whitegenocide #waronwhites #refugeeswelcome #rapefugees """,implicit_hate,explicit_hate,stereotypical
white supremacy took a huge l when obama got in office . like that's gotta be a racist worse nightmare . yall some losers lol,not_hate,implicit_hate,
jeh walking it back on freedom : from homeland security ...,not_hate,not_hate,
" rt and i will point it out here  when u call white people  "" white supremacist "" "" just cause they disagree with you . it's like me calling you the "" "" n "" "" word . with no proof """,implicit_hate,implicit_hate,white_grievance
the traditionalist workers party doesnt have that rule though  many white nationalist groups have mixed race members .,not_hate,not_hate,
no i have shut your lies down with truth . you are here to pitch white supremacy blah blah . you are the talking points guy,not_hate,explicit_hate,
" i've been telling people  "" overwhelming diversity can / will undermine social cohesion "" "" """,implicit_hate,implicit_hate,white_grievance
nods..revoke passport and place them on terrorist list for return,implicit_hate,explicit_hate,threatening
over 50 % of black people pay nothing in federal income taxes . the rest pay almost nothing in income taxes .,implicit_hate,implicit_hate,stereotypical
wait   he were a german ? ? or polish ? ?,not_hate,not_hate,
" typical leftist chant   "" racist !  racist ! it rings hollow when it's every other word "" "" you people "" "" use . """,not_hate,implicit_hate,
oscars : acting nominees all white via,not_hate,not_hate,
furthermore the video i linked is on the identity page of the identity europa website . try again .,not_hate,not_hate,
"  "" white supremacy "" "" is not the same as "" "" anti white "" "" . #ohlookmorenutjobs """,not_hate,implicit_hate,
great quotes al the time.this is more white people trying to tell everybody what's best.they don't know what black people want,not_hate,implicit_hate,
bye bye. we won't miss ur welfare sucking dem ass.,implicit_hate,explicit_hate,irony
i'm thinking there are some good people in that movement but it's been hijacked . this guy's an embarrassment .,not_hate,not_hate,
any white candidates running ?,not_hate,not_hate,
lol they used to throw nets over people like this and haul them off to the booby hatch !,not_hate,not_hate,
qatar : muslim cleric prays for allah to kill the jews,not_hate,explicit_hate,
preparing for race war : the south african bootcamps which are training thousands of white youths | read more :,not_hate,explicit_hate,
deport her to syria and never let her return traitor bitch killary.,implicit_hate,explicit_hate,threatening
i would have supported ted cruz in a heartbeat over hillary . she can't be allowed to win .,not_hate,not_hate,
can't wait to see your quest for the wall  hit the wall  sputter and die . the only thing will give you is the middle finger,not_hate,not_hate,
My humour is so dark that cops are beating it,implicit_hate,not_hate,irony
yeah but the exwives of the old na boneheads are keeping the lulz alive,implicit_hate,not_hate,inferiority
indian railways : mission electrification to cover 24000 km track in 5 nmapp,not_hate,not_hate,
lets get ice to do a few raids in there & drain that swamp,implicit_hate,not_hate,threatening
shut it down : as the jewish media loses power  alternative media comes under attack via,implicit_hate,implicit_hate,stereotypical
